Address: 12, X: 5.123, Y: 2.434, Z: -1.736, Angle: 0.0, Flags: 2  at time T: 665573
Address: 12, X: 5.123, Y: 2.434, Z: -1.736, Angle: 0.0, Flags: 2  at time T: 665713
Address: 12, X: 5.128, Y: 2.435, Z: -1.739, Angle: 0.0, Flags: 2  at time T: 665853
Address: 12, X: 5.125, Y: 2.434, Z: -1.737, Angle: 0.0, Flags: 2  at time T: 665993
Address: 12, X: 5.130, Y: 2.436, Z: -1.741, Angle: 0.0, Flags: 2  at time T: 666133
Address: 12, X: 5.132, Y: 2.437, Z: -1.741, Angle: 0.0, Flags: 2  at time T: 666273
Address: 12, X: 5.119, Y: 2.428, Z: -1.733, Angle: 0.0, Flags: 2  at time T: 666414
Address: 12, X: 5.119, Y: 2.429, Z: -1.733, Angle: 0.0, Flags: 2  at time T: 666554
Address: 12, X: 5.121, Y: 2.428, Z: -1.733, Angle: 0.0, Flags: 2  at time T: 666695
Address: 12, X: 5.114, Y: 2.425, Z: -1.729, Angle: 0.0, Flags: 2  at time T: 666835
Address: 12, X: 5.116, Y: 2.427, Z: -1.730, Angle: 0.0, Flags: 2  at time T: 666975
Address: 12, X: 5.115, Y: 2.426, Z: -1.730, Angle: 0.0, Flags: 2  at time T: 667115
Address: 12, X: 5.113, Y: 2.425, Z: -1.729, Angle: 0.0, Flags: 2  at time T: 667255
Address: 12, X: 5.112, Y: 2.425, Z: -1.729, Angle: 0.0, Flags: 2  at time T: 667395
Address: 12, X: 5.115, Y: 2.427, Z: -1.731, Angle: 0.0, Flags: 2  at time T: 667536
Address: 12, X: 5.120, Y: 2.431, Z: -1.735, Angle: 0.0, Flags: 2  at time T: 667676
Address: 12, X: 5.111, Y: 2.425, Z: -1.729, Angle: 0.0, Flags: 2  at time T: 667817
Address: 12, X: 5.111, Y: 2.424, Z: -1.729, Angle: 0.0, Flags: 2  at time T: 667957
Address: 12, X: 5.112, Y: 2.425, Z: -1.730, Angle: 0.0, Flags: 2  at time T: 668097
Address: 12, X: 5.107, Y: 2.423, Z: -1.727, Angle: 0.0, Flags: 2  at time T: 668237
Address: 12, X: 5.107, Y: 2.426, Z: -1.727, Angle: 0.0, Flags: 2  at time T: 668377
Address: 12, X: 5.108, Y: 2.427, Z: -1.728, Angle: 0.0, Flags: 2  at time T: 668517
Address: 12, X: 5.108, Y: 2.427, Z: -1.728, Angle: 0.0, Flags: 2  at time T: 668658
Address: 12, X: 5.114, Y: 2.429, Z: -1.731, Angle: 0.0, Flags: 2  at time T: 668798
Address: 12, X: 5.118, Y: 2.431, Z: -1.733, Angle: 0.0, Flags: 2  at time T: 668939
Address: 12, X: 5.121, Y: 2.433, Z: -1.735, Angle: 0.0, Flags: 2  at time T: 669079
Address: 12, X: 5.124, Y: 2.434, Z: -1.737, Angle: 0.0, Flags: 2  at time T: 669219
Address: 12, X: 5.112, Y: 2.427, Z: -1.730, Angle: 0.0, Flags: 2  at time T: 669359
Address: 12, X: 5.110, Y: 2.428, Z: -1.732, Angle: 0.0, Flags: 2  at time T: 669499
Address: 12, X: 5.091, Y: 2.421, Z: -1.725, Angle: 0.0, Flags: 2  at time T: 669639
Address: 12, X: 5.066, Y: 2.412, Z: -1.717, Angle: 0.0, Flags: 2  at time T: 669784
Address: 12, X: 5.045, Y: 2.408, Z: -1.714, Angle: 0.0, Flags: 2  at time T: 669924
Address: 12, X: 5.019, Y: 2.402, Z: -1.710, Angle: 0.0, Flags: 2  at time T: 670065
Address: 12, X: 4.996, Y: 2.397, Z: -1.713, Angle: 0.0, Flags: 2  at time T: 670205
Address: 12, X: 4.969, Y: 2.391, Z: -1.716, Angle: 0.0, Flags: 2  at time T: 670345
Address: 12, X: 4.939, Y: 2.385, Z: -1.718, Angle: 0.0, Flags: 2  at time T: 670485
Address: 12, X: 4.902, Y: 2.370, Z: -1.716, Angle: 0.0, Flags: 2  at time T: 670625
Address: 12, X: 4.868, Y: 2.358, Z: -1.715, Angle: 0.0, Flags: 2  at time T: 670765
Address: 12, X: 4.834, Y: 2.344, Z: -1.715, Angle: 0.0, Flags: 2  at time T: 670906
Address: 12, X: 4.798, Y: 2.328, Z: -1.715, Angle: 0.0, Flags: 2  at time T: 671046
Address: 12, X: 4.762, Y: 2.311, Z: -1.716, Angle: 0.0, Flags: 2  at time T: 671187
Address: 12, X: 4.723, Y: 2.289, Z: -1.716, Angle: 0.0, Flags: 2  at time T: 671327
Address: 12, X: 4.681, Y: 2.264, Z: -1.714, Angle: 0.0, Flags: 2  at time T: 671467
Address: 12, X: 4.639, Y: 2.238, Z: -1.713, Angle: 0.0, Flags: 2  at time T: 671607
Address: 12, X: 4.596, Y: 2.211, Z: -1.714, Angle: 0.0, Flags: 2  at time T: 671747
Address: 12, X: 4.552, Y: 2.183, Z: -1.715, Angle: 0.0, Flags: 2  at time T: 671887
Address: 12, X: 4.527, Y: 2.166, Z: -1.741, Angle: 0.0, Flags: 2  at time T: 672028
Address: 12, X: 4.481, Y: 2.136, Z: -1.742, Angle: 0.0, Flags: 2  at time T: 672168
Address: 12, X: 4.432, Y: 2.104, Z: -1.741, Angle: 0.0, Flags: 2  at time T: 672309
Address: 12, X: 4.384, Y: 2.072, Z: -1.741, Angle: 0.0, Flags: 2  at time T: 672449
Address: 12, X: 4.318, Y: 2.030, Z: -1.718, Angle: 0.0, Flags: 2  at time T: 672589
Address: 12, X: 4.270, Y: 1.998, Z: -1.720, Angle: 0.0, Flags: 2  at time T: 672729
Address: 12, X: 4.223, Y: 1.967, Z: -1.722, Angle: 0.0, Flags: 2  at time T: 672869
Address: 12, X: 4.175, Y: 1.937, Z: -1.723, Angle: 0.0, Flags: 2  at time T: 673009
Address: 12, X: 4.135, Y: 1.913, Z: -1.733, Angle: 0.0, Flags: 2  at time T: 673150
Address: 12, X: 4.087, Y: 1.882, Z: -1.731, Angle: 0.0, Flags: 2  at time T: 673290
Address: 12, X: 4.041, Y: 1.857, Z: -1.730, Angle: 0.0, Flags: 2  at time T: 673431
Address: 12, X: 3.994, Y: 1.834, Z: -1.731, Angle: 0.0, Flags: 2  at time T: 673571
Address: 12, X: 3.940, Y: 1.796, Z: -1.720, Angle: 0.0, Flags: 2  at time T: 673711
Address: 12, X: 3.887, Y: 1.779, Z: -1.726, Angle: 0.0, Flags: 2  at time T: 673851
Address: 12, X: 3.840, Y: 1.739, Z: -1.726, Angle: 0.0, Flags: 2  at time T: 673991
Address: 12, X: 3.793, Y: 1.701, Z: -1.725, Angle: 0.0, Flags: 2  at time T: 674131
Address: 12, X: 3.745, Y: 1.680, Z: -1.726, Angle: 0.0, Flags: 2  at time T: 674272
Address: 12, X: 3.706, Y: 1.641, Z: -1.724, Angle: 0.0, Flags: 2  at time T: 674412
Address: 12, X: 3.655, Y: 1.614, Z: -1.728, Angle: 0.0, Flags: 2  at time T: 674553
Address: 12, X: 3.606, Y: 1.590, Z: -1.731, Angle: 0.0, Flags: 2  at time T: 674693
Address: 12, X: 3.557, Y: 1.554, Z: -1.731, Angle: 0.0, Flags: 2  at time T: 674833
Address: 12, X: 3.507, Y: 1.524, Z: -1.733, Angle: 0.0, Flags: 2  at time T: 674973
Address: 12, X: 3.460, Y: 1.498, Z: -1.735, Angle: 0.0, Flags: 2  at time T: 675113
Address: 12, X: 3.412, Y: 1.468, Z: -1.737, Angle: 0.0, Flags: 2  at time T: 675253
Address: 12, X: 3.365, Y: 1.439, Z: -1.741, Angle: 0.0, Flags: 2  at time T: 675398
Address: 12, X: 3.316, Y: 1.410, Z: -1.743, Angle: 0.0, Flags: 2  at time T: 675538
Address: 12, X: 3.268, Y: 1.381, Z: -1.744, Angle: 0.0, Flags: 2  at time T: 675679
Address: 12, X: 3.218, Y: 1.350, Z: -1.744, Angle: 0.0, Flags: 2  at time T: 675819
Address: 12, X: 3.168, Y: 1.320, Z: -1.746, Angle: 0.0, Flags: 2  at time T: 675959
Address: 12, X: 3.121, Y: 1.287, Z: -1.745, Angle: 0.0, Flags: 2  at time T: 676099
Address: 12, X: 3.074, Y: 1.256, Z: -1.746, Angle: 0.0, Flags: 2  at time T: 676239
Address: 12, X: 3.020, Y: 1.227, Z: -1.748, Angle: 0.0, Flags: 2  at time T: 676379
Address: 12, X: 2.965, Y: 1.200, Z: -1.750, Angle: 0.0, Flags: 2  at time T: 676520
Address: 12, X: 2.917, Y: 1.161, Z: -1.748, Angle: 0.0, Flags: 2  at time T: 676660
Address: 12, X: 2.867, Y: 1.122, Z: -1.744, Angle: 0.0, Flags: 2  at time T: 676801
Address: 12, X: 2.818, Y: 1.090, Z: -1.744, Angle: 0.0, Flags: 2  at time T: 676941
Address: 12, X: 2.771, Y: 1.056, Z: -1.741, Angle: 0.0, Flags: 2  at time T: 677081
Address: 12, X: 2.724, Y: 1.023, Z: -1.738, Angle: 0.0, Flags: 2  at time T: 677221
Address: 12, X: 2.527, Y: 1.525, Z: -1.900, Angle: 0.0, Flags: 2  at time T: 677361
Address: 12, X: 2.487, Y: 1.482, Z: -1.892, Angle: 0.0, Flags: 2  at time T: 677501
Address: 12, X: 2.446, Y: 1.438, Z: -1.883, Angle: 0.0, Flags: 2  at time T: 677642
Address: 12, X: 2.397, Y: 1.409, Z: -1.881, Angle: 0.0, Flags: 2  at time T: 677782
Address: 12, X: 2.496, Y: 0.845, Z: -1.716, Angle: 0.0, Flags: 2  at time T: 677923
Address: 12, X: 2.442, Y: 0.824, Z: -1.717, Angle: 0.0, Flags: 2  at time T: 678063
Address: 12, X: 2.393, Y: 0.797, Z: -1.717, Angle: 0.0, Flags: 2  at time T: 678203
Address: 12, X: 2.335, Y: 0.781, Z: -1.722, Angle: 0.0, Flags: 2  at time T: 678343
Address: 12, X: 2.279, Y: 0.763, Z: -1.725, Angle: 0.0, Flags: 2  at time T: 678483
Address: 12, X: 2.227, Y: 0.738, Z: -1.726, Angle: 0.0, Flags: 2  at time T: 678623
Address: 12, X: 2.178, Y: 0.720, Z: -1.730, Angle: 0.0, Flags: 2  at time T: 678764
Address: 12, X: 2.143, Y: 0.698, Z: -1.715, Angle: 0.0, Flags: 2  at time T: 678904
Address: 12, X: 2.100, Y: 0.672, Z: -1.716, Angle: 0.0, Flags: 2  at time T: 679045
Address: 12, X: 2.061, Y: 0.645, Z: -1.719, Angle: 0.0, Flags: 2  at time T: 679185
Address: 12, X: 2.016, Y: 0.623, Z: -1.720, Angle: 0.0, Flags: 2  at time T: 679325
Address: 12, X: 1.970, Y: 0.591, Z: -1.735, Angle: 0.0, Flags: 2  at time T: 679465
Address: 12, X: 1.939, Y: 0.569, Z: -1.726, Angle: 0.0, Flags: 2  at time T: 679605
Address: 12, X: 1.904, Y: 0.545, Z: -1.718, Angle: 0.0, Flags: 2  at time T: 679745
Address: 12, X: 1.862, Y: 0.517, Z: -1.717, Angle: 0.0, Flags: 2  at time T: 679886
Address: 12, X: 1.817, Y: 0.489, Z: -1.717, Angle: 0.0, Flags: 2  at time T: 680026
Address: 12, X: 1.770, Y: 0.458, Z: -1.720, Angle: 0.0, Flags: 2  at time T: 680167
Address: 12, X: 1.723, Y: 0.428, Z: -1.721, Angle: 0.0, Flags: 2  at time T: 680307
Address: 12, X: 1.677, Y: 0.396, Z: -1.720, Angle: 0.0, Flags: 2  at time T: 680447
Address: 12, X: 1.630, Y: 0.362, Z: -1.719, Angle: 0.0, Flags: 2  at time T: 680587
Address: 12, X: 1.579, Y: 0.325, Z: -1.723, Angle: 0.0, Flags: 2  at time T: 680727
Address: 12, X: 1.533, Y: 0.291, Z: -1.721, Angle: 0.0, Flags: 2  at time T: 680867
Address: 12, X: 1.490, Y: 0.253, Z: -1.722, Angle: 0.0, Flags: 2  at time T: 681012
Address: 12, X: 1.453, Y: 0.212, Z: -1.725, Angle: 0.0, Flags: 2  at time T: 681152
Address: 12, X: 1.413, Y: 0.174, Z: -1.721, Angle: 0.0, Flags: 2  at time T: 681293
Address: 12, X: 1.374, Y: 0.130, Z: -1.722, Angle: 0.0, Flags: 2  at time T: 681433
Address: 12, X: 1.340, Y: 0.087, Z: -1.718, Angle: 0.0, Flags: 2  at time T: 681573
Address: 12, X: 1.303, Y: 0.043, Z: -1.712, Angle: 0.0, Flags: 2  at time T: 681713
Address: 12, X: 1.279, Y: -0.010, Z: -1.715, Angle: 0.0, Flags: 2  at time T: 681853
Address: 12, X: 1.256, Y: -0.066, Z: -1.721, Angle: 0.0, Flags: 2  at time T: 681993
Address: 12, X: 1.239, Y: -0.118, Z: -1.719, Angle: 0.0, Flags: 2  at time T: 682134
Address: 12, X: 1.230, Y: -0.176, Z: -1.720, Angle: 0.0, Flags: 2  at time T: 682274
Address: 12, X: 1.219, Y: -0.233, Z: -1.720, Angle: 0.0, Flags: 2  at time T: 682415
Address: 12, X: 1.216, Y: -0.292, Z: -1.716, Angle: 0.0, Flags: 2  at time T: 682555
Address: 12, X: 1.216, Y: -0.362, Z: -1.712, Angle: 0.0, Flags: 2  at time T: 682695
